transaction_id,date,customer_id,product_category,product_name,quantity,unit_price,total_amount,payment_method,region
TXN-00001,2024-11-23,CUST-1456,Electronics,Laptop Stand,1,204.62,204.62,Credit Card,West
TXN-00002,2024-01-17,CUST-1122,Electronics,Wireless Mouse,5,128.75,643.75,PayPal,North
TXN-00003,2024-03-22,CUST-3859,Books,Data Engineering Guide,3,35.15,105.45,PayPal,East
TXN-00004,2024-11-05,CUST-2083,Electronics,USB-C Hub,4,28.25,113.0,PayPal,South
TXN-00005,2024-12-26,CUST-1284,Electronics,Webcam,2,260.6,521.2,Bank Transfer,East
TXN-00006,2024-03-24,CUST-2516,Home & Garden,Garden Hose,1,184.69,184.69,Debit Card,South
TXN-00007,2024-08-24,CUST-2554,Home & Garden,Door Mat,2,206.95,413.9,Credit Card,South
TXN-00008,2024-01-17,CUST-4297,Home & Garden,Plant Pot,5,263.52,1317.6,Bank Transfer,West
TXN-00009,2024-11-25,CUST-2879,Clothing,Denim Jeans,5,82.51,412.55,Bank Transfer,East
TXN-00010,2024-04-22,CUST-1566,Sports,Tennis Balls,1,50.09,50.09,Bank Transfer,North
TXN-00011,2024-07-16,CUST-2563,Sports,Foam Roller,5,258.92,-1294.6,Credit Card,East
TXN-00012,2024-11-24,CUST-2393,Electronics,Bluetooth Speaker,3,291.7,875.1,Credit Card,East
TXN-00013,2024-11-23,CUST-3079,Sports,Water Bottle,5,286.27,1431.35,Credit Card,East
TXN-00014,2024-09-07,CUST-1079,Electronics,Webcam,2,264.0,528.0,Credit Card,West
TXN-00015,2024-02-05,CUST-4115,Sports,Resistance Bands,5,53.71,268.55,Bank Transfer,South
TXN-00016,2024-10-03,CUST-4093,Clothing,Winter Jacket,3,134.24,402.72,Credit Card,South
TXN-00017,2024-04-25,CUST-1262,Home & garden,LED Bulb Pack,1,25.94,25.94,Debit Card,North
TXN-00018,2024-01-17,CUST-4521,Home & Garden,Garden Hose,2,164.07,328.14,Bank Transfer,South
TXN-00019,2024-08-30,CUST-4307,Books,Python Cookbook,3,129.95,389.85,Credit Card,North
TXN-00020,2024-02-01,CUST-2649,Home & Garden,Plant Pot,2,163.2,326.4,Debit Card,East
TXN-00021,2024-08-24,CUST-2023,Electronics,USB-C Hub,5,251.62,1258.1,Debit Card,South
TXN-00022,2024-07-27,CUST-2989,Books,Machine Learning Intro,2,116.79,233.58,PayPal,West
TXN-00023,2024-05-26,CUST-2732,Sports,Jump Rope,3,69.22,207.66,Credit Card,East
TXN-00024,2024-01-30,CUST-1205,Sports,Tennis Balls,1,288.42,288.42,Debit Card,North
TXN-00025,2024-10-31,CUST-1278,Clothing,Baseball Cap,5,16.72,83.6,PayPal,East
TXN-00026,2024-04-14,CUST-3743,Home & Garden,Throw Pillow,3,139.88,419.64,Credit Card,North
TXN-00027,2024-08-22,CUST-3544,Sports,Yoga Mat,5,83.23,416.15,Credit Card,South
TXN-00028,2024-07-08,CUST-2167,Clothing,Baseball Cap,5,295.23,1476.15,Credit Card,East
TXN-00029,2024-12-05,CUST-1424,Clothing,Cotton T-Shirt,2,85.34,170.68,PayPal,South
